Temporada,Liga,P_Jugados,P_Ganados,P_Empatados,P_Perdidos,Puntos,Posicion,pct_de_Victorias
1905-06,Second Division,38,22,9,7,53,3,57.89
1906-07,Second Division,38,26,5,7,57,2,68.42
1907-08,First Division,38,14,8,16,36,13,36.84
1908-09,First Division,38,14,9,15,37,11,36.84
1909-10,First Division,38,11,7,20,29,19,28.95
1910-11,Second Division,38,20,9,9,49,3,52.63
1911-12,Second Division,38,24,6,8,54,2,63.16
1912-13,First Division,38,11,6,21,28,18,28.95
1913-14,First Division,38,16,7,15,39,8,42.11
1914-15,First Division,38,8,13,17,29,19,21.05
1919-20,First Division,42,22,5,15,49,3,52.38
1920-21,First Division,42,13,13,16,38,18,30.95
1921-22,First Division,42,17,12,13,46,9,40.48
1922-23,First Division,42,9,18,15,36,19,21.43
1923-24,First Division,42,9,14,19,32,21,21.43
1924-25,Second Division,42,16,15,11,47,5,38.1
1925-26,Second Division,42,19,14,9,52,3,45.24
1926-27,Second Division,42,20,12,10,52,4,47.62
1927-28,Second Division,42,23,8,11,54,3,54.76
1928-29,Second Division,42,17,10,15,44,9,40.48
1929-30,Second Division,42,22,11,9,55,2,52.38
1930-31,First Division,42,15,10,17,40,12,35.71
1931-32,First Division,42,16,8,18,40,12,38.1
1932-33,First Division,42,14,7,21,35,18,33.33
1933-34,First Division,42,14,8,20,36,19,33.33
1934-35,First Division,42,16,9,17,41,12,38.1
1935-36,First Division,42,15,13,14,43,8,35.71
1936-37,First Division,42,14,13,15,41,13,33.33
1937-38,First Division,42,14,13,15,41,10,33.33
1938-39,First Division,42,12,9,21,33,20,28.57
1946-47,First Division,42,16,7,19,39,15,38.1
1947-48,First Division,42,14,9,19,37,18,33.33
1948-49,First Division,42,12,14,16,38,13,28.57
1949-50,First Division,42,12,16,14,40,13,28.57
1950-51,First Division,42,12,8,22,32,20,28.57
1951-52,First Division,42,14,8,20,36,19,33.33
1952-53,First Division,42,12,11,19,35,19,28.57
1953-54,First Division,42,16,12,14,44,8,38.1
1954-55,First Division,42,20,12,10,52,1,47.62
1955-56,First Division,42,14,11,17,39,16,33.33
1956-57,First Division,42,13,13,16,39,13,30.95
1957-58,First Division,42,15,12,15,42,11,35.71
1958-59,First Division,42,18,4,20,40,14,42.86
1959-60,First Division,42,14,9,19,37,18,33.33
1960-61,First Division,42,15,7,20,37,12,35.71
1961-62,First Division,42,9,10,23,28,22,21.43
1962-63,Second Division,42,24,4,14,52,2,57.14
1963-64,First Division,42,20,10,12,50,5,47.62
1964-65,First Division,42,24,8,10,56,3,57.14
1965-66,First Division,42,22,7,13,51,5,52.38
1966-67,First Division,42,15,14,13,44,9,35.71
1967-68,First Division,42,18,12,12,48,6,42.86
1968-69,First Division,42,20,10,12,50,5,47.62
1969-70,First Division,42,21,13,8,55,3,50.0
1970-71,First Division,42,18,15,9,51,6,42.86
1971-72,First Division,42,18,12,12,48,7,42.86
1972-73,First Division,42,13,14,15,40,12,30.95
1973-74,First Division,42,12,13,17,37,17,28.57
1974-75,First Division,42,9,15,18,33,21,21.43
1975-76,Second Division,42,12,16,14,40,11,28.57
1976-77,Second Division,42,21,13,8,55,2,50.0
1977-78,First Division,42,11,14,17,36,16,26.19
1978-79,First Division,42,5,10,27,20,22,11.9
1979-80,Second Division,42,23,7,12,53,4,54.76
1980-81,Second Division,42,14,12,16,40,12,33.33
1981-82,Second Division,42,15,12,15,57,12,35.71
1982-83,Second Division,42,11,14,17,47,18,26.19
1983-84,Second Division,42,25,13,4,88,1,59.52
1984-85,First Division,42,18,12,12,66,6,42.86
1985-86,First Division,42,20,11,11,71,6,47.62
1986-87,First Division,42,13,13,16,52,14,30.95
1987-88,First Division,40,9,15,16,42,18,22.5
1988-89,Second Division,46,29,12,5,99,1,63.04
1989-90,First Division,38,16,12,10,49,5,42.11
1990-91,First Division,38,13,10,15,49,11,34.21
1991-92,First Division,42,13,14,15,53,14,30.95
1992-93,Premier League,42,14,14,14,56,11,33.33
1993-94,Premier League,42,13,12,17,51,14,30.95
1994-95,Premier League,38,13,15,14,54,11,34.21
1995-96,Premier League,38,12,14,12,50,11,31.58
1996-97,Premier League,38,16,11,11,59,6,42.11
1997-98,Premier League,38,20,3,15,63,4,52.63
1998-99,Premier League,38,20,15,3,75,3,52.63
1999-00,Premier League,38,18,11,9,65,5,47.37
2000-01,Premier League,38,17,10,11,61,6,44.74
2001-02,Premier League,38,17,13,8,64,6,44.74
2002-03,Premier League,38,19,10,9,67,4,50.0
2003-04,Premier League,38,24,7,7,79,2,63.16
2004-05,Premier League,38,29,8,1,95,1,76.32
2005-06,Premier League,38,29,4,5,91,1,76.32
2006-07,Premier League,38,24,11,3,83,2,63.16
2007-08,Premier League,38,25,10,3,85,2,65.79
2008-09,Premier League,38,25,8,5,83,3,65.79
2009-10,Premier League,38,27,5,6,86,1,71.05
2010-11,Premier League,38,21,8,9,71,2,55.26
2011-12,Premier League,38,18,10,10,64,6,47.37
2012-13,Premier League,38,22,9,7,75,3,57.89
2013-14,Premier League,38,25,7,6,82,3,65.79
2014-15,Premier League,38,26,9,3,87,1,68.42
2015-16,Premier League,38,12,14,12,50,10,31.58
2016-17,Premier League,38,30,3,5,93,1,78.95
2017-18,Premier League,38,21,7,10,70,5,55.26
2018-19,Premier League,38,21,9,8,72,3,55.26
2019-20,Premier League,38,20,6,12,66,4,52.63
2020-21,Premier League,38,19,10,9,67,4,50.0
2021-22,Premier League,38,21,11,6,74,3,55.26
